25238738@7.4192574/43.7382684,43.7382684,7.4192574
1870233795@7.4192151/43.7383443,43.7383443,7.4192151
25238744@7.4192093/43.7383761,43.7383761,7.4192093
8733488634@7.4192069/43.7384107,43.7384107,7.4192069
25197985@7.4192226/43.7384596,43.7384596,7.4192226
6485591925@7.4254946/43.7372239,43.7372239,7.4254946
1736929660@7.4261751/43.7373052,43.7373052,7.4261751
9416148858@7.4265153/43.7373587,43.7373587,7.4265153
1720683731@7.4268435/43.7374191,43.7374191,7.4268435
6485591919@7.4273074/43.7375321,43.7375321,7.4273074
1699777574@7.4272971/43.7397122,43.7397122,7.4272971
11146700934@7.4274015/43.7398154,43.7398154,7.4274015
1736929703@7.4274990/43.7399097,43.7399097,7.427499
272637923@7.4275372/43.7399476,43.7399476,7.4275372
6485591888@7.4295273/43.7409524,43.7409524,7.4295273
1720684404@7.4293988/43.7409117,43.7409117,7.4293988
25240093@7.4293699/43.7408998,43.7408998,7.4293699
1720684401@7.4293503/43.7408882,43.7408882,7.4293503
1720684398@7.4293349/43.7408747,43.7408747,7.4293349
1720684395@7.4293172/43.7408554,43.7408554,7.4293172
21914573@7.4293045/43.7408308,43.7408308,7.4293045
1720684346@7.4292963/43.7408062,43.7408062,7.4292963
1720684322@7.4292952/43.7407862,43.7407862,7.4292952
1720684318@7.4292976/43.7407667,43.7407667,7.4292976
25240091@7.4293060/43.7407462,43.7407462,7.429306
1720684314@7.4293168/43.7407264,43.7407264,7.4293168
1720684310@7.4293330/43.7407043,43.7407043,7.429333
25239175@7.4293552/43.7406819,43.7406819,7.4293552
1685108323@7.4293951/43.7406434,43.7406434,7.4293951
1720684307@7.4295170/43.7405242,43.7405242,7.429517
1720684303@7.4295599/43.7404844,43.7404844,7.4295599
11802279991@7.4296048/43.7404501,43.7404501,7.4296048
1720684301@7.4296518/43.7404191,43.7404191,7.4296518
1720684299@7.4296960/43.7403844,43.7403844,7.429696
1720684297@7.4297226/43.7403628,43.7403628,7.4297226
21914666@7.4297349/43.7403489,43.7403489,7.4297349
1868723952@7.4268727/43.7416018,43.7416018,7.4268727
8829633356@7.4269316/43.7415762,43.7415762,7.4269316
6340961564@7.4269855/43.7415355,43.7415355,7.4269855
1699777832@7.4270226/43.7414865,43.7414865,7.4270226
21917383@7.4270431/43.7414202,43.7414202,7.4270431
6340961565@7.4270401/43.7413676,43.7413676,7.4270401
25242840@7.4270167/43.7413101,43.7413101,7.4270167
25242841@7.4268670/43.7410962,43.7410962,7.426867
6340961566@7.4268355/43.7410148,43.7410148,7.4268355
21917400@7.4268222/43.7409408,43.7409408,7.4268222
6340961567@7.4268240/43.7408746,43.7408746,7.426824
25242842@7.4268400/43.7408114,43.7408114,7.42684
6340961568@7.4268708/43.7407607,43.7407607,7.4268708
25242844@7.4269220/43.7406983,43.7406983,7.426922
6340961569@7.4269959/43.7406479,43.7406479,7.4269959
21917445@7.4270609/43.7406136,43.7406136,7.4270609
272637723@7.4271043/43.7405915,43.7405915,7.4271043
272637784@7.4274367/43.7404503,43.7404503,7.4274367
25242845@7.4274806/43.7404301,43.7404301,7.4274806
1794111172@7.4275773/43.7403705,43.7403705,7.4275773
1204288391@7.4276726/43.7402742,43.7402742,7.4276726
9532804376@7.4277046/43.7402188,43.7402188,7.4277046
21914841@7.4277541/43.7401666,43.7401666,7.4277541
1079751501@7.4306447/43.7428212,43.7428212,7.4306447
1685062049@7.4306594/43.7428907,43.7428907,7.4306594
10665719662@7.4306761/43.7429711,43.7429711,7.4306761
25242930@7.4307084/43.7430690,43.743069,7.4307084
10665719661@7.4307735/43.7432119,43.7432119,7.4307735
1685062094@7.4308515/43.7433450,43.743345,7.4308515
1864130082@7.4310609/43.7481020,43.748102,7.4310609
25243187@7.4310536/43.7480623,43.7480623,7.4310536
4874757523@7.4310567/43.7480162,43.7480162,7.4310567
21921503@7.4310762/43.7479838,43.7479838,7.4310762
